React (https://github.com/facebook/react/issues),,,,,,,
#4729,Can't install package over git+ssh with non-standard port when using plink on Windows,https://github.com/yarnpkg/yarn/issues/4729,"cat-bug, good first issue, os-windows, triaged",x,x,x,x
#4718,strange latency with yarn install,https://github.com/yarnpkg/yarn/issues/4718,"cat-bug, fixed-in-v2, good first issue, help wanted, triaged",x,x,x,x
#4441,Bug: yarn init should not traverse up to find a package.json,https://github.com/yarnpkg/yarn/issues/4441,"cat-bug, good first issue, help wanted, triaged",x,x,x,x
#4076,Yarn local mirror creates invalid file name when Git repository is at server root,https://github.com/yarnpkg/yarn/issues/4076,"cat-bug, good first issue, help wanted",x,x,x,x
#4840,yarn upgrade - no update and spurious warning about existing entry in package.json for devDependencies,https://github.com/yarnpkg/yarn/issues/4840,"cat-bug, good first issue, help wanted",x,x,x,
#886,fails if bundledDependency is missing in .tgz file,https://github.com/yarnpkg/yarn/issues/886,"cat-bug, cat-compatibility, good first issue, help wanted, high-priority, triaged",x,x,,x
#2466,yarn add with non-existent version saves wrong version to package.json,https://github.com/yarnpkg/yarn/issues/2466,"good first issue, help wanted, triaged",x,x,,
#2671,Add compressing feature for offline git dependencies.,https://github.com/yarnpkg/yarn/issues/2671,"cat-feature, fixed-in-v2, good first issue, triaged",x,x,x,
#2849,Ensure Yarn retries on 5xx errors,https://github.com/yarnpkg/yarn/issues/2849,"good first issue, help wanted, triaged",x,x,x,
,,,,,,,
TensorFlow(https://github.com/tensorflow/tensorflow),,,,,,,
id,title,link,Labels,closed,OB,EB,S2R
#38349,nan gradient when tf.where is used,https://github.com/tensorflow/tensorflow/issues/38349,"TF 2.1, TF 2.2, comp:ops, good first issue, stat:contributions welcome, type:bug",x,x,x,x
#30802,Using tf.function while enumerating a dataset causes an infinite loop,https://github.com/tensorflow/tensorflow/issues/30802,"TF 2.0, comp:autograph, good first issue, stat:contributions welcome, type:bug",x,x,x,x
#24815,"If a branch contains summaries, tf.cond doesn't support Operations as branches",https://github.com/tensorflow/tensorflow/issues/24815,"comp:ops, contrib, good first issue, stat:contributions welcome",x,x,x,x
#48551,tf.strings.lower() does not lower-case non-ASCII characters,https://github.com/tensorflow/tensorflow/issues/48551,"TF 2.4, comp:ops, stat:contributions welcome, type:bug",x,x,x,x
#48238,tf.meshgrid throws exception when input tensors have different dtypes,https://github.com/tensorflow/tensorflow/issues/48238,"TF 2.4, comp:ops, stat:contributions welcome, type:bug",x,x,x,x
#37323,Count number of times tf.function is traced,https://github.com/tensorflow/tensorflow/issues/37323,"comp:core, good first issue, stat:contributions welcome, type:feature",x,x,,x
#36146,tf.function and tf.nest break for valid Mapping instances,https://github.com/tensorflow/tensorflow/issues/36146,"TF 2.1, comp:core, good first issue, stat:contributions welcome, type:bug",x,x,,x
#30895,[TF 2.0] autograph issue,https://github.com/tensorflow/tensorflow/issues/30895,"TF 2.0, comp:autograph, good first issue, stat:contributions welcome, type:bug",x,x,,x
#26294,[TF 2.0] Conversion script fails to parse IPython functions.,https://github.com/tensorflow/tensorflow/issues/26294,"TF 2.0, comp:ops, good first issue, type:bug",x,x,,x
#26143,[TF2.0] Error Logging for GradientTape,https://github.com/tensorflow/tensorflow/issues/26143,"TF 2.0, comp:ops, good first issue, stat:contributions welcome, type:bug",x,x,,x
#20402,Feature request: non-stateful scatter_nd_min and scatter_nd_max,https://github.com/tensorflow/tensorflow/issues/20402,"good first issue, stat:contributions welcome, type:feature",x,x,,
#26368,[TF 2.0] Add skip_empty argument to tf.strings.split so that tf.string_split can be deprecated.,https://github.com/tensorflow/tensorflow/issues/26368,"TF 2.0, good first issue",x,x,,
,,,,,,,
,,,,,,,
React-native(https://github.com/facebook/react-native),,,,,,,
id,title,link,Labels,closed,OB,EB,S2R
#31372,Add flow types to AccessibilityAndroidExample.android.js,https://github.com/facebook/react-native/issues/31372,"Flow, Good first issue",x,x,x,x
#31329,Add Flow Types to AccessibilityExample.js,https://github.com/facebook/react-native/issues/31329,"Flow, Good first issue",x,x,x,x
#31322,SectionList -> SectionListModern: Refactor to functional component,https://github.com/facebook/react-native/issues/31322,"Component: SectionList, Good first issue",x,x,x,x
#28065,React Native Picker component does not have an onTouch property,https://github.com/facebook/react-native/issues/28065,"Component: Picker, Good first issue",x,x,x,x
#27253,selectTextOnFocus does not work with multiline text inputs iOS,https://github.com/facebook/react-native/issues/27253,"Bug, Component: TextInput, Good first issue, Platform: iOS, Ran Commands",x,x,x,x
#26554,Linking.openUrl with a telephone number throws an error,https://github.com/facebook/react-native/issues/26554,"API: Linking, Bug, Good first issue",x,x,x,x
#24875,👻 Flow Typing NativeModules,https://github.com/facebook/react-native/issues/24875,"Flow, Good first issue, Help Wanted Native Module, Resolution: Locked, Type: Discussion",x,x,x,x
#22990,Creating Standalone JS File For Each Native Component,https://github.com/facebook/react-native/issues/22990,"Good first issue, Help Wanted, JavaScript, Resolution: Locked",x,x,x,x
#31330,Convert SafeAreaView to ES Module,https://github.com/facebook/react-native/issues/31330,"Component: SafeAreaView, Good first issue",x,x,x,
#21581,Convert components off of createReactClass,https://github.com/facebook/react-native/issues/21581,"Good first issue, Help Wanted, JavaScript, Resolution: Locked",x,x,,x
#321,Use WKWebView instead of UIWebView,https://github.com/facebook/react-native/issues/321,"Component: WebView, Good first issue, Help Wanted, Platform: iOS, Resolution: Locked, Type: DiscussionType: Enhancement",x,x,x,
#11083,Hope to add attribute （ keyboardType = numberSigned） to TextInput of android,https://github.com/facebook/react-native/issues/11083,"Bug, Component: TextInput, Good first issue, Help Wanted, Platform: Android, Ran Commands, Resolution: Locked, Type: Enhancement",x,x,,
#10561,StatusBar.currentHeight returns undefined,https://github.com/facebook/react-native/issues/10561,"Good first issue, Help Wanted, Resolution: Locked",x,x,x,
,,,,,,,
PhpMyAdmin(https://github.com/phpmyadmin/phpmyadmin),,,,,,,
id,title,link,Labels,closed,OB,EB,S2R
#16659,Column Drop arrow is not responsive,https://github.com/phpmyadmin/phpmyadmin/issues/16659,"bug, good first issue, ui",x,x,x,x
